Matching target edge lengths for Micromesh and Anisotropic Micromesh schemes
Micro | Aniso | Faces
2.63  | 2.56  | 1684
2.63  | 2.57  | 1684
2.64  | 2.56  | 1684
2.64  | 2.57  | 1684
2.65  | 2.56  | 1684
2.65  | 2.57  | 1684
2.66  | 2.56  | 1684
2.66  | 2.57  | 1684
2.67  | 2.56  | 1684
2.67  | 2.57  | 1684
2.68  | 2.56  | 1684
2.68  | 2.57  | 1684
2.69  | 2.56  | 1684
2.69  | 2.57  | 1684
2.7   | 2.56  | 1684
2.7   | 2.57  | 1684
2.71  | 2.56  | 1684
2.71  | 2.57  | 1684
2.72  | 2.58  | 1672
2.72  | 2.59  | 1672
2.72  | 2.6   | 1672
2.73  | 2.58  | 1672
2.73  | 2.59  | 1672
2.73  | 2.6   | 1672
2.74  | 2.58  | 1672
2.74  | 2.59  | 1672
2.74  | 2.6   | 1672
2.75  | 2.58  | 1672
2.75  | 2.59  | 1672
2.75  | 2.6   | 1672
2.76  | 2.58  | 1672
2.76  | 2.59  | 1672
2.76  | 2.6   | 1672
2.9   | 3.25  | 1540
2.9   | 3.26  | 1540
2.9   | 3.27  | 1540
2.91  | 3.25  | 1540
2.91  | 3.26  | 1540
2.91  | 3.27  | 1540
2.92  | 3.25  | 1540
2.92  | 3.26  | 1540
2.92  | 3.27  | 1540
3.92  | 3.84  | 928
3.92  | 3.85  | 928
3.92  | 3.86  | 928
3.93  | 3.84  | 928
3.93  | 3.85  | 928
3.93  | 3.86  | 928
3.94  | 3.84  | 928
3.94  | 3.85  | 928
3.94  | 3.86  | 928
3.95  | 3.84  | 928
3.95  | 3.85  | 928
3.95  | 3.86  | 928
4.84  | 5.6   | 550
4.84  | 5.61  | 550
4.84  | 5.62  | 550
4.85  | 5.6   | 550
4.85  | 5.61  | 550
4.85  | 5.62  | 550
4.86  | 5.6   | 550
4.86  | 5.61  | 550
4.86  | 5.62  | 550
5.08  | 5.72  | 460
5.08  | 5.73  | 460
5.08  | 5.74  | 460
5.08  | 5.75  | 460
5.08  | 5.76  | 460
5.09  | 5.72  | 460
5.09  | 5.73  | 460
5.09  | 5.74  | 460
5.09  | 5.75  | 460
5.09  | 5.76  | 460
5.1   | 5.72  | 460
5.1   | 5.73  | 460
5.1   | 5.74  | 460
5.1   | 5.75  | 460
5.1   | 5.76  | 460
