Micro	| Aniso	| Faces
2.18	| 2.44	| 3136
2.18	| 2.45	| 3136
2.97	| 2.93	| 1660
3.13	| 3.99	| 1414
3.14	| 3.99	| 1414
3.16	| 4.05	| 1360
3.31	| 3.62	| 1252
3.31	| 3.63	| 1252
3.31	| 3.64	| 1252
3.31	| 3.65	| 1252
3.31	| 3.66	| 1252
4.42	| 4.46	| 760
4.42	| 4.47	| 760
4.42	| 4.48	| 760
4.42	| 4.5	| 760
4.42	| 4.51	| 760
4.42	| 4.52	| 760
4.42	| 4.53	| 760
4.42	| 4.54	| 760
4.42	| 4.55	| 760
4.42	| 4.56	| 760
4.43	| 4.46	| 760
4.43	| 4.47	| 760
4.43	| 4.48	| 760
4.43	| 4.5	| 760
4.43	| 4.51	| 760
4.43	| 4.52	| 760
4.43	| 4.53	| 760
4.43	| 4.54	| 760
4.43	| 4.55	| 760
4.43	| 4.56	| 760
4.44	| 4.46	| 760
4.44	| 4.47	| 760
4.44	| 4.48	| 760
4.44	| 4.5	| 760
4.44	| 4.51	| 760
4.44	| 4.52	| 760
4.44	| 4.53	| 760
4.44	| 4.54	| 760
4.44	| 4.55	| 760
4.44	| 4.56	| 760
4.45	| 4.46	| 760
4.45	| 4.47	| 760
4.45	| 4.48	| 760
4.45	| 4.5	| 760
4.45	| 4.51	| 760
4.45	| 4.52	| 760
4.45	| 4.53	| 760
4.45	| 4.54	| 760
4.45	| 4.55	| 760
4.45	| 4.56	| 760
4.53	| 4.76	| 742
4.73	| 4.92	| 682
4.79	| 5.18	| 664
4.8		| 5.18	| 664
4.81	| 5.18	| 664
4.82	| 5.18	| 664
4.83	| 5.18	| 664
5.02	| 5.95	| 568
5.03	| 5.95	| 568
5.04	| 5.96	| 562
5.04	| 5.97	| 562
5.05	| 5.96	| 562
5.05	| 5.97	| 562
5.06	| 6.09	| 556
5.06	| 6.1	| 556
5.06	| 6.11	| 556
5.06	| 6.12	| 556
5.06	| 6.13	| 556
5.06	| 6.14	| 556
